시도,시군구,레벨01,항목,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년,2023 년
충북,청주시 상당구,전,면적,32428349.5,32410381.4,32428041.8,32451037.1,32477129.7,32504669.5,32472853.2,32245054.1,32226659.4,31623385.8
충북,청주시 상당구,답,면적,36467390.1,36325969.1,36200228.7,36095895.6,35943824,35738751.8,35622450.6,35016355.6,34872302,34024219.5
충북,청주시 상당구,묘지,면적,1285526.9,1286623.9,1284355.9,1286916.9,1286355.9,1285092.9,1285723.2,1288113.2,1287187.7,1283571.7
충북,청주시 서원구,계,면적,122598211.8,122612507.5,122627067.4,122624799.6,122641581.4,122634639.6,122648403.5,122656704.4,122657238.1,122673863.5
충북,청주시 서원구,전,면적,11395425.1,11317049.2,11236805.8,11237418.3,11291528.1,11253320.8,11246360.9,11202560.9,11136215.7,11038553.7
충북,청주시 서원구,답,면적,16391549.2,16185510.5,16074199,15956899.4,15849747.1,15732437.2,15588726.6,15474361.9,15292737,15127634.2
충북,청주시 서원구,묘지,면적,366343,358331,357122,355002,350889,336890,336684,338816.8,336979.8,330249.3
충북,청주시 흥덕구,계,면적,198318937.8,198316247.6,198336066.9,198814355.1,198817676.8,198804526.7,198823745.3,199035929.5,199082867.2,199109689.8
충북,청주시 흥덕구,전,면적,21852946.5,21759803.7,21770658.6,21207672.2,21268757.3,20477588.3,20335227.3,20100131.7,20013701.6,19999667.9
충북,청주시 흥덕구,답,면적,40282800.1,40015977.9,39784733.9,38688799.5,38282746.5,37215215.5,36949029.2,36448616.8,36284819.6,36038407
충북,청주시 흥덕구,묘지,면적,522573,519829,511493,467915,461224,457431,457674,411324,409566.8,412000.8
충북,충주시,계,면적,983583416.6,983569448.6,983549989.7,983525195.2,983490947.7,983477554.9,983594339.2,983618695.9,983673931.2,983257122.9
충북,충주시,전,면적,81963106.7,80630802,78805039.4,78747224.3,78733721,78480742.6,78455665.3,78318539.8,78226416.3,78234674.2
충북,충주시,답,면적,82432374.2,80886659.3,80071984.7,79530804.2,78923429.8,78341031,77980210.5,77471931.2,77188262.9,76817736.3
충북,충주시,묘지,면적,2064745.2,2046300.2,2034891.1,2029030.1,2030876.1,2028209.1,2032564.1,2032815.1,2580202.9,2590151.9
충북,청주시 청원구,계,면적,214976759.4,214961519,214962560.3,214947693.4,215001568.9,215043254.3,215010205,214994856.3,215004723.1,215008369.2
충북,청주시 청원구,전,면적,25553129.2,25413916.3,25090827.8,25071704,24971044.6,24843372.5,24640507.6,24483674.9,24362657.7,24186554.3
충북,청주시 청원구,답,면적,43081980.8,42891446.4,42438101.9,42267640.6,41782019.3,41533736.8,41288557.7,41077057.6,40874545.3,40664044.5
충북,청주시 청원구,묘지,면적,344199,338554,332775,332844,333938,333924,338154,333824,328028,335808
충북,제천시,계,면적,883439033.7,883468041.6,883535903.8,883397742.4,883435259.9,883422112.5,883490515.3,882766070.8,882767553.1,882770985.2
충북,제천시,전,면적,76114164.6,75882304.8,75628197.3,75527189.4,75625801.2,75335774.8,75230640.1,75111702.6,74962141,74690197.2
충북,제천시,답,면적,35055604.7,34685876.7,34349155.5,34114772.9,33890822,33575890.8,33354285.8,33050820.1,32796808.2,32498365.8
충북,제천시,묘지,면적,2017287.3,2010460.4,2038855.4,2035424.1,2033812.4,2034508.4,2035753.4,2027958.2,2027024.8,2009404.1
충북,보은군,계,면적,584255800.1,584257108.4,584301825.7,584221931.9,584160690.4,584207530.4,584207828.3,584204456.8,584257746.1,584262399.1
충북,보은군,전,면적,51541823.7,51527735.7,51285191.7,51304463.7,51363964.3,51368164.4,51200272.7,51282476.4,51290399.7,51300375.7
충북,보은군,답,면적,59791642.7,59655015.3,59376718.9,59242822.6,59023607.1,58913869.5,58392401,58272439.6,58090096,58064956
충북,보은군,묘지,면적,1470175,1469802,1471092,1468274.8,1468954.8,1471962.3,1467033,1470330.5,1467180.2,1458064.2
충북,옥천군,계,면적,537092206.9,537110961.7,537124165.6,537170226.3,537208418.6,537221175.1,537252322,537283906.5,537338897.9,537283275.4
충북,옥천군,전,면적,55683456.5,55662334.7,55615065.6,55784711.9,55718153.8,55617875.7,55492779.8,55401655.1,55273464.2,55095558.6
충북,옥천군,답,면적,44914226.9,44616199.4,44320042.1,43979469,43814039,43638874.4,43377217.5,43182067.7,42924154.6,42619104.4
충북,옥천군,묘지,면적,1669498.6,1673557.6,1672285.6,1674336.6,1672086.6,1669867.4,1673547.4,1676688.4,1670260.4,1672034
충북,영동군,계,면적,845614026.6,845724360.9,845843825.4,845960442.8,846032724.3,846016197.8,846053885.5,846638524.6,846799093.1,846906526.9
충북,영동군,전,면적,51618106.8,51525307.8,51341903.2,51283249.8,51054190.8,50936283.8,50846119,50845544.1,50785065.1,50734925.8
충북,영동군,답,면적,53897192.3,53673889.9,53378373.9,53190524.9,52784330,52609601.9,52382409.7,52133049.1,51908433.7,51752706.6
충북,영동군,묘지,면적,1621827.8,1618321.8,1617194.8,1617264.8,1617363.8,1609573.8,1635494.8,1635970.8,1639591.8,1638448.7
충북,증평군,계,면적,81825150.5,81812971.5,81804394.5,81802190.5,81805037.8,81797648.4,81805395,81803183.6,81804533,81802888.4
충북,증평군,전,면적,9800921.3,9768576.7,9518530.5,9505525.5,9513902.4,9499714.2,9499006.9,9452194,9401899.5,9416305.8
충북,증평군,답,면적,13865621.4,13772677.1,13533004.6,13448679.9,13363077.4,13271484.6,13177211.4,13073924.1,13030364.8,12954801.7
충북,증평군,묘지,면적,132942,132942,132258.1,134178.1,137929.8,139106.8,143036.8,143124.7,143572.8,143789.1
충북,진천군,계,면적,407248845.4,407256586.8,407238785.7,407251212.8,407244202.6,407303348.2,407329962.3,407320025.6,407396753.9,407384399.9
충북,진천군,전,면적,35628351.3,34632380.1,34228315.1,33958647,33965787.1,33875986.2,33423912.9,33246729.2,32892352.8,32834062.4
충북,진천군,답,면적,61163012.5,60161401.5,59679948.6,58991163.1,58823516.4,58691301.5,58156227.9,57810534.9,57492658.3,57330528.8
충북,진천군,묘지,면적,941156,933558,930433.4,934451.4,938708.4,936640.4,927717.2,922970.2,925654.2,928303
충북,괴산군,계,면적,842420940,842344425.8,842190364.6,842157983.6,842156667.4,842189019.8,842141681.8,842076248.1,841983973.1,842010687.5
충북,괴산군,전,면적,75309782.9,75210289.5,74987475.8,75424104.7,75501695.5,75280156,75363583.7,75373238.5,75296348.5,75340612.2
충북,괴산군,답,면적,60013500.6,59744319.2,59196032.1,58445063.8,58144767,57877789.8,57554769.5,57162615.7,56833586.6,56500279.3
충북,괴산군,묘지,면적,1393210,1392884,1396180,1398431,1406728,1538350,1537771,1526013.4,1528949.9,1535823.9
충북,음성군,계,면적,520278822.7,520267640.3,520259546.5,520233403.4,520204363,520182165.7,520165047.7,520136076.4,520121744.2,520122607.8
충북,음성군,전,면적,63901166.7,62480144.7,62086383.8,61629971.2,61619611,61269506,60835880.5,60522358.7,59533337.2,59296545.1
충북,음성군,답,면적,76967899.5,75609667.6,74867057.2,74422161.1,74124618.1,73807345.7,73348003.6,72776480.9,71897659,71632379.5
충북,음성군,묘지,면적,2117709,2084212,2079564,2094592.4,2106942.4,2105432.4,2105594.4,2105952.8,2093474.8,2097313.7
충북,단양군,계,면적,781062281.4,781105288.3,781114313.8,781147472.5,781197250.2,780158659.6,780097853.7,780146055.7,780227705.3,780153231.8
충북,단양군,전,면적,61159947,61036835.1,60904231.6,60925290.8,60968615,60880508.9,60764724,60639696.6,60428792.1,60156178.3
충북,단양군,답,면적,13189723.3,13068625.1,12985869.5,12904627.8,12784933.4,12739124,12692894.8,12612643.4,12557190.1,12510470
충북,단양군,묘지,면적,3045955,3046169,3041209.4,3014970.4,3015365.8,3014871.8,3015310.7,3014950.7,3013324.7,3014030.1
충남,공주시,계,면적,864255436.1,864197463,864192489.7,864209647,864195334.4,864152740.3,864149384,864140568.1,864147418.8,864163698.5
충남,공주시,전,면적,54961020.6,54627443.9,54583694.5,54410945.5,54447827,54107186.7,54036934.7,54051764.5,54093408.5,53991702.7
충남,공주시,답,면적,103905531.3,102832112,102504766.9,102199687.2,101942900.3,101067876.8,100649835.2,100132610.9,99805932.8,99606575.5
충남,공주시,묘지,면적,2746248,2725965,2728792,2729700,2732760,2730492,2724954,2727596.9,2723030.9,2727964.2
충남,보령시,계,면적,569420623.8,569403169.6,573775191.3,573896411.3,574075175.4,586558276.7,586744614.4,586925833.5,586873806.9,586861155.9
충남,보령시,전,면적,42377771.7,41945366.7,41799304.9,41673466.4,41708217,41634825.9,41408875.7,41367618.8,41157692.5,41092263.7
충남,보령시,답,면적,103394374.8,102337971.8,103853248.8,103180769.7,102899506.2,102655951.8,102303024.2,101951143.4,101628297.4,101439317.3
충남,보령시,묘지,면적,1763722.6,1761546.6,1754945.6,1744207.6,1744631.6,1745391.8,1750691.8,1752034.8,1756951.6,1759388.8
충남,천안시 동남구,계,면적,438442071.6,438453065.9,438364870.8,438357201.6,438336314.7,438386771.6,438387713.9,438417460.7,438413002.9,438392065.4
충남,천안시 동남구,전,면적,35655872.4,35422373.3,35292817.2,34975968.3,34842398.9,34775277.6,34668820.6,34541565.2,34380491.4,34217228.4
충남,천안시 동남구,답,면적,56519805.5,56153980.7,55913593.2,55282144.2,55066419.7,54859465.7,54662910.9,54336419.1,53945626,53542992.5
충남,천안시 동남구,묘지,면적,2177360,2176399,2176602,2173399,2171363.9,2169489.9,2172502.9,2172661.1,2171180.4,2173775.4
